date,USD,CNY,JPY,EUR,KRW,SGD,GBP,NZD,THB
2012-04-06,0.158549,1,13.042237,0.121115,179.08105,0.19954,0.100031,0.194262,4.914803
2012-05-23,0.158151,1,12.577593,0.125046,185.054634,0.201915,0.100538,0.210141,4.981534
2016-09-12,0.149809,1,15.314753,0.13335,166.058009,0.203281,0.112741,0.204427,5.223858
2016-12-09,0.144818,1,16.606995,0.136823,169.066276,0.206744,0.115011,0.202239,5.16625
2017-06-24,0.146229,1,16.273178,0.130846,166.431267,0.202961,0.11492,0.200992,4.965124
2018-01-25,0.15796,1,17.266381,0.127478,167.884249,0.206194,0.11125,0.214429,4.959913
2018-03-26,0.158975,1,16.750711,0.12847,171.495665,0.208404,0.11223,0.218307,4.95247
2018-04-09,0.158567,1,16.966502,0.128955,169.37054,0.208138,0.112351,0.217234,4.957247
2023-05-04,0.144757,1,19.460524,0.130964,191.656277,0.192193,0.115112,0.231141,4.914249
2024-07-28,0.137935,1,21.247447,0.127045,191.082217,0.185236,0.107202,0.234056,4.981747
