date,USD,CNY,JPY,EUR,KRW,SGD,GBP,NZD,THB
11/20/2013,1.35125,8.247956,135.188357,1,"1,427.95",1.681056,0.837432,1.621882,42.79966
5/27/2011,1.426497,9.260487,115.536132,1,1548.227306,1.764111,0.86753,1.75092,43.304551
6/20/2014,1.359851,8.437428,138.67459,1,1387.29388,1.699428,0.79819,1.562178,44.144627
9/17/2014,1.29547,7.957043,139.077335,1,1341.040635,1.636185,0.794386,1.58458,41.764036
8/22/2015,1.129549,7.221033,138.731078,1,1346.906308,1.590012,0.719618,1.700163,40.295982
6/13/2016,1.127616,7.429569,119.659502,1,1317.966832,1.53069,0.795273,1.599577,39.705353
8/3/2017,1.185168,7.967408,131.039966,1,1333.332316,1.612041,0.898642,1.598202,39.443059
6/8/2018,1.176969,7.540791,128.928563,1,1263.245809,1.57086,0.877834,1.674871,37.723726
5/23/2019,1.114551,7.706442,122.682594,1,1328.023999,1.538556,0.881703,1.715463,35.632542
6/11/2022,1.058999,7.09138,141.830235,1,1347.825543,1.464707,0.851045,1.655028,36.727208
