date,USD,CNY,JPY,EUR,KRW,SGD,GBP,NZD,THB
2013-12-14,1.629675,9.915503,168.733672,1.186788,1716.704642,2.046858,1,1.97741,52.259358
2014-12-04,1.568552,9.645918,187.962263,1.270756,1747.428515,2.059986,1,2.018217,51.601648
2017-04-17,1.254451,8.648983,136.266244,1.179588,1428.678592,1.752893,1,1.791709,43.046319
2017-05-14,1.286492,8.878937,146.354409,1.183234,1451.54342,1.812098,1,1.880079,44.67787
2017-10-15,1.329021,8.748539,148.981594,1.123608,1501.47835,1.798987,1,1.859026,43.983837
2018-01-28,1.42336,8.997801,155.441987,1.144171,1513.885854,1.860646,1,1.939846,44.643861
2022-01-18,1.361255,8.643921,156.150251,1.19634,1622.04974,1.837,1,2.010021,45.073666
2023-11-24,1.25639,8.984988,187.861562,1.151129,1639.198863,1.684527,1,2.070845,44.533191
2023-12-02,1.265595,9.036109,187.086403,1.16228,1650.128066,1.691814,1,2.050126,44.574861
2024-02-01,1.265595,9.036109,187.086403,1.16228,1650.128066,1.691814,1,2.050126,44.574861
