date,USD,CNY,JPY,EUR,KRW,SGD,GBP,NZD,THB
2011-09-06,0.012972,0.082909,1,0.00923,13.926543,0.015688,0.008085,0.015685,0.388254
2013-04-26,0.010159,0.062788,1,0.007807,11.300545,0.012569,0.00657,0.01194,0.297612
2015-12-16,0.0082,0.053028,1,0.007505,9.663597,0.011539,0.005458,0.012122,0.294982
2016-06-28,0.009784,0.064985,1,0.00884,11.471898,0.013253,0.00734,0.013878,0.344934
2016-11-05,0.009706,0.065594,1,0.008741,11.08666,0.013433,0.007771,0.013266,0.339379
2017-12-06,0.008911,0.058934,1,0.007539,9.724552,0.012008,0.006656,0.012935,0.290548
2019-12-06,0.009203,0.064758,1,0.008299,10.945188,0.012519,0.007007,0.014033,0.279297
2022-01-17,0.008734,0.055447,1,0.007652,10.411961,0.011777,0.006391,0.012842,0.290339
2022-07-20,0.007237,0.048877,1,0.007082,9.494899,0.010076,0.006032,0.011584,0.265134
2022-11-04,0.006774,0.048846,1,0.006897,9.581592,0.009551,0.006014,0.011554,0.254289
