date,USD,CNY,JPY,EUR,KRW,SGD,GBP,NZD,THB
2011-05-20,1,6.49541,81.710607,0.700631,1083.578442,1.235824,0.615995,1.262118,30.274476
2015-02-11,1,6.211672,119.520209,0.884177,1099.648652,1.358347,0.655256,1.351277,32.649282
2017-08-10,1,6.657537,109.827229,0.852131,1140.950816,1.3642,0.770062,1.371941,33.249618
2019-07-20,1,6.87698,107.651809,0.889811,1176.209347,1.35817,0.798476,1.475864,30.775931
2019-12-17,1,6.997998,109.552905,0.89653,1166.635292,1.354957,0.757476,1.518023,30.235579
2020-05-11,1,7.088909,107.013658,0.92353,1221.005088,1.414532,0.809174,1.635994,32.160638
2020-10-16,1,6.704478,105.267438,0.853193,1144.202215,1.359788,0.774578,1.514976,31.217052
2023-06-09,1,7.126838,139.446966,0.928723,1290.902567,1.343094,0.796353,1.636324,34.59749
2024-02-03,1,7.183011,147.007543,0.920836,1327.644433,1.338102,0.785793,1.632298,35.31518
2024-11-27,1,7.251223,151.607117,0.950417,1393.814173,1.343755,0.792634,1.699932,34.628594
